Operación tradicional:
n: 1k
1.588135 ms.	1.550049 ms.	1.549805 ms.	1.585938 ms.	1.447998 ms.	1.576904 ms.	1.490967 ms.	1.458008 ms.	1.372070 ms.	1.258057 ms.	1.352783 ms.	1.342041 ms.	 
4403.046143 ms.	4824.343994 ms.	5293.843994 ms.	5540.353027 ms.	6225.170898 ms.	10989.071777 ms.	5428.020020 ms.	5401.673096 ms.	5325.489990 ms.	4140.516113 ms.	4969.640137 ms.	4120.916016 ms.	 
3353.229004 ms.	3761.327881 ms.	3680.817139 ms.	4012.035889 ms.	4268.185791 ms.	5419.386963 ms.	8938.215088 ms.	5272.325195 ms.	5756.326172 ms.	4166.558838 ms.	4564.323975 ms.	3775.464111 ms.	 
3470.959961 ms.	3704.977051 ms.	4424.654053 ms.	4686.156982 ms.	4690.421875 ms.	5409.586182 ms.	5336.834961 ms.	10343.255859 ms.	6482.109131 ms.	5230.516113 ms.	5315.552002 ms.	4100.599121 ms.	 
3487.353027 ms.	3745.605957 ms.	4178.761963 ms.	4486.331055 ms.	4069.968018 ms.	5326.486816 ms.	5577.597900 ms.	6497.615967 ms.	10435.316895 ms.	5548.399902 ms.	5574.741943 ms.	4817.843018 ms.	 
2537.855957 ms.	2766.069092 ms.	3132.529053 ms.	3135.875000 ms.	3261.082031 ms.	4141.299805 ms.	4187.929932 ms.	5211.205078 ms.	5562.201172 ms.	8294.189941 ms.	4763.812012 ms.	3881.666016 ms.	 
3299.343018 ms.	3556.269043 ms.	3946.473877 ms.	4060.965088 ms.	4046.308838 ms.	4979.225098 ms.	4558.496826 ms.	5269.093018 ms.	5577.036133 ms.	4769.890869 ms.	9301.499023 ms.	6509.987793 ms.	 
2730.920898 ms.	2980.875977 ms.	3352.405029 ms.	3523.908936 ms.	3470.283936 ms.	4105.944092 ms.	3777.099121 ms.	4105.178955 ms.	5034.677002 ms.	4040.118896 ms.	6500.708984 ms.	9244.225098 ms.	 
 
Operación en paralelo:
n: 1k
6.803223 ms.	3.367920 ms.	2.587158 ms.	3.403076 ms.	5.862061 ms.	3.872070 ms.	3.822021 ms.	5.440918 ms.	3.502930 ms.	3.283203 ms.	3.363037 ms.	3.431885 ms.	 
3.443848 ms.	5.174072 ms.	5.112061 ms.	3.435791 ms.	3.364014 ms.	5.954834 ms.	3.400879 ms.	3.496094 ms.	4.757080 ms.	5.422119 ms.	3.908936 ms.	3.467041 ms.	 
5.679932 ms.	5.555908 ms.	5.437988 ms.	3.400879 ms.	1.797852 ms.	6.215088 ms.	3.635986 ms.	3.648926 ms.	3.954834 ms.	5.393066 ms.	2.218994 ms.	3.532227 ms.	 
3.844971 ms.	4.378174 ms.	3.675049 ms.	2.612793 ms.	4.651855 ms.	3.772949 ms.	6.548096 ms.	3.426025 ms.	3.330078 ms.	3.693115 ms.	5.905029 ms.	5.146973 ms.	 
3.489014 ms.	3.088867 ms.	5.238037 ms.	5.734863 ms.	4.467041 ms.	3.497070 ms.	2.962158 ms.	3.967041 ms.	3.031982 ms.	3.171143 ms.	3.563965 ms.	3.651123 ms.	 
5.467041 ms.	3.933838 ms.	3.752930 ms.	5.059082 ms.	3.902100 ms.	4.068115 ms.	3.944092 ms.	5.781006 ms.	5.401123 ms.	3.666016 ms.	3.908936 ms.	1.769043 ms.	 
2.479980 ms.	3.469971 ms.	3.868164 ms.	5.458008 ms.	5.485107 ms.	5.380127 ms.	5.461914 ms.	5.519043 ms.	3.084961 ms.	2.888184 ms.	5.229004 ms.	5.299072 ms.	 
3.697998 ms.	3.354004 ms.	3.329102 ms.	4.995117 ms.	5.463867 ms.	3.808105 ms.	3.798096 ms.	3.597900 ms.	3.689941 ms.	3.527100 ms.	3.524902 ms.	3.581787 ms.	 
2.843018 ms.	5.554932 ms.	3.771973 ms.	4.973877 ms.	4.039062 ms.	3.135010 ms.	5.468994 ms.	3.620117 ms.	3.462891 ms.	3.549072 ms.	3.818115 ms.	3.808838 ms.	 
3.613037 ms.	3.249023 ms.	3.250000 ms.	3.500000 ms.	3.332031 ms.	3.376953 ms.	3.225098 ms.	3.292969 ms.	5.520020 ms.	3.900879 ms.	3.458008 ms.	5.144043 ms.	 
5.313965 ms.	4.882080 ms.	5.322021 ms.	3.272949 ms.	3.765869 ms.	2.885986 ms.	3.510010 ms.	3.887207 ms.	3.343018 ms.	2.126953 ms.	3.162109 ms.	3.751953 ms.	 
3.860840 ms.	3.458984 ms.	3.528076 ms.	3.476074 ms.	5.412842 ms.	3.882080 ms.	3.245117 ms.	3.430908 ms.	3.791016 ms.	3.956055 ms.	3.534912 ms.	6.008057 ms.	 
 
n: 10k
37.664795 ms.	46.901123 ms.	39.884033 ms.	7.484863 ms.	8.537842 ms.	8.380859 ms.	7.685059 ms.	7.802979 ms.	6.849121 ms.	6.306885 ms.	5.459961 ms.	6.895020 ms.	 
38.910889 ms.	43.557129 ms.	36.091064 ms.	6.380127 ms.	8.518066 ms.	6.453857 ms.	6.321045 ms.	7.844971 ms.	6.437988 ms.	2.928955 ms.	5.792969 ms.	5.456055 ms.	 
37.734863 ms.	40.604004 ms.	47.210938 ms.	7.539062 ms.	8.279053 ms.	7.923096 ms.	8.196045 ms.	8.690918 ms.	8.523926 ms.	5.854004 ms.	7.840088 ms.	7.163818 ms.	 
7.842041 ms.	6.920166 ms.	8.163086 ms.	8.479004 ms.	6.856934 ms.	7.851807 ms.	7.505859 ms.	6.842041 ms.	7.281006 ms.	4.330078 ms.	9.693848 ms.	6.665771 ms.	 
8.006104 ms.	6.656982 ms.	6.900879 ms.	7.045898 ms.	7.575928 ms.	7.292969 ms.	7.489990 ms.	7.424072 ms.	7.901855 ms.	4.639893 ms.	7.416992 ms.	7.129150 ms.	 
7.458008 ms.	6.152100 ms.	7.336914 ms.	7.326172 ms.	7.762939 ms.	7.989014 ms.	7.820801 ms.	7.081055 ms.	8.088867 ms.	5.433838 ms.	6.514160 ms.	6.713135 ms.	 
8.354980 ms.	5.910156 ms.	7.837158 ms.	6.854980 ms.	8.000000 ms.	7.633057 ms.	7.040039 ms.	7.874023 ms.	8.152832 ms.	5.868896 ms.	7.156006 ms.	5.947998 ms.	 
7.891113 ms.	7.363037 ms.	8.158203 ms.	7.047852 ms.	7.981934 ms.	5.785889 ms.	7.975098 ms.	8.231201 ms.	7.962891 ms.	6.245117 ms.	6.197021 ms.	7.649902 ms.	 
7.710938 ms.	7.288818 ms.	9.087891 ms.	6.468018 ms.	7.829102 ms.	7.967041 ms.	8.425049 ms.	6.571045 ms.	9.020020 ms.	6.165039 ms.	9.863037 ms.	7.903076 ms.	 
6.830078 ms.	4.548096 ms.	6.168945 ms.	5.040039 ms.	5.594971 ms.	4.751953 ms.	5.518066 ms.	6.395996 ms.	6.137939 ms.	6.154053 ms.	3.921143 ms.	4.846191 ms.	 
7.623047 ms.	5.403809 ms.	7.856201 ms.	6.372070 ms.	6.611084 ms.	6.785156 ms.	7.104004 ms.	7.962891 ms.	8.238037 ms.	5.758057 ms.	8.451172 ms.	8.296143 ms.	 
7.258057 ms.	5.395996 ms.	7.030029 ms.	6.738037 ms.	7.408936 ms.	6.708984 ms.	7.182129 ms.	7.564941 ms.	6.967041 ms.	5.865967 ms.	8.372070 ms.	9.085205 ms.	 
 
n: 100k
110.908936 ms.	61.151855 ms.	89.437988 ms.	13.831055 ms.	11.171875 ms.	46.807129 ms.	15.619141 ms.	10.070801 ms.	9.586914 ms.	7.482910 ms.	11.226074 ms.	9.944092 ms.	 
60.717041 ms.	69.785156 ms.	68.234131 ms.	8.684814 ms.	8.949951 ms.	29.510010 ms.	8.990967 ms.	8.488037 ms.	7.568115 ms.	6.518066 ms.	7.583984 ms.	6.998047 ms.	 
90.412109 ms.	69.644043 ms.	135.646973 ms.	21.000977 ms.	12.115967 ms.	76.604980 ms.	14.894043 ms.	17.859131 ms.	12.927979 ms.	16.502930 ms.	10.073975 ms.	9.224121 ms.	 
16.683838 ms.	8.930176 ms.	23.581055 ms.	29.750000 ms.	9.769775 ms.	25.198975 ms.	24.651855 ms.	16.385986 ms.	9.373047 ms.	14.006104 ms.	6.910889 ms.	6.870117 ms.	 
10.912109 ms.	9.012207 ms.	11.558105 ms.	9.609131 ms.	9.086914 ms.	10.045898 ms.	8.712891 ms.	8.915039 ms.	10.117920 ms.	5.083008 ms.	6.802002 ms.	7.497070 ms.	 
45.250000 ms.	30.757080 ms.	80.477051 ms.	26.572021 ms.	12.175049 ms.	112.732910 ms.	30.760010 ms.	8.447021 ms.	10.895996 ms.	6.088867 ms.	9.910156 ms.	8.438965 ms.	 
12.365967 ms.	7.444092 ms.	15.540039 ms.	23.492188 ms.	9.000977 ms.	28.661133 ms.	29.708008 ms.	11.113037 ms.	8.179932 ms.	8.635986 ms.	8.364990 ms.	9.301025 ms.	 
11.031982 ms.	9.262939 ms.	17.296143 ms.	16.699951 ms.	8.364014 ms.	11.671875 ms.	9.797852 ms.	20.876953 ms.	9.896973 ms.	21.036133 ms.	9.624023 ms.	8.972900 ms.	 
9.791016 ms.	8.292969 ms.	11.171875 ms.	8.175049 ms.	8.164062 ms.	11.304199 ms.	8.786133 ms.	10.197021 ms.	10.670166 ms.	7.715088 ms.	9.391113 ms.	8.666992 ms.	 
7.589111 ms.	6.656006 ms.	15.106201 ms.	14.987061 ms.	5.560059 ms.	8.165771 ms.	6.822021 ms.	18.118896 ms.	6.239990 ms.	42.196045 ms.	33.990234 ms.	3.914062 ms.	 
10.460938 ms.	7.774902 ms.	10.428955 ms.	7.232910 ms.	8.447021 ms.	9.528076 ms.	8.619141 ms.	9.603027 ms.	9.901123 ms.	35.585938 ms.	47.025146 ms.	9.114014 ms.	 
11.658936 ms.	5.642822 ms.	10.210938 ms.	8.314209 ms.	7.904053 ms.	9.456787 ms.	8.186035 ms.	9.249023 ms.	9.745117 ms.	6.288086 ms.	8.904053 ms.	8.891113 ms.	 
 
n: 1m
468.569824 ms.	258.542969 ms.	352.136963 ms.	321.735840 ms.	171.464844 ms.	207.879883 ms.	152.695801 ms.	155.446045 ms.	155.459961 ms.	130.080078 ms.	157.250000 ms.	111.280029 ms.	 
258.744141 ms.	288.301025 ms.	285.365967 ms.	207.561035 ms.	139.228027 ms.	144.934082 ms.	113.404053 ms.	117.463135 ms.	110.086914 ms.	116.204102 ms.	108.650879 ms.	70.552002 ms.	 
352.409180 ms.	285.364990 ms.	569.731934 ms.	293.864014 ms.	185.517090 ms.	243.681152 ms.	162.768066 ms.	168.147949 ms.	160.887939 ms.	150.833984 ms.	133.731201 ms.	81.287109 ms.	 
320.959961 ms.	206.906982 ms.	295.480957 ms.	751.670166 ms.	356.451172 ms.	280.725098 ms.	202.356934 ms.	199.577881 ms.	188.718994 ms.	169.374023 ms.	196.869873 ms.	150.312988 ms.	 
171.098877 ms.	140.114014 ms.	186.885010 ms.	357.286865 ms.	529.429199 ms.	263.835938 ms.	208.002197 ms.	200.792969 ms.	190.340088 ms.	174.365967 ms.	179.246094 ms.	137.332031 ms.	 
210.791992 ms.	145.633789 ms.	247.421875 ms.	278.525879 ms.	259.508057 ms.	451.433838 ms.	226.181152 ms.	207.614014 ms.	208.989990 ms.	180.641113 ms.	175.835938 ms.	140.646973 ms.	 
153.649902 ms.	116.855957 ms.	161.674072 ms.	206.497070 ms.	206.203125 ms.	227.970215 ms.	253.628906 ms.	211.754883 ms.	191.466064 ms.	179.869873 ms.	179.537109 ms.	138.009033 ms.	 
157.492920 ms.	119.599854 ms.	166.224854 ms.	201.848877 ms.	201.945801 ms.	211.882080 ms.	211.429199 ms.	295.238037 ms.	207.748047 ms.	190.909180 ms.	187.480957 ms.	144.748047 ms.	 
158.328125 ms.	109.557129 ms.	165.122070 ms.	188.583008 ms.	200.047119 ms.	208.450928 ms.	192.734131 ms.	207.394043 ms.	277.756104 ms.	195.116943 ms.	193.735840 ms.	159.251953 ms.	 
129.806885 ms.	114.387939 ms.	154.538086 ms.	171.470215 ms.	174.660889 ms.	181.998047 ms.	177.902100 ms.	190.137207 ms.	193.774902 ms.	283.677979 ms.	224.569092 ms.	146.868896 ms.	 
158.014893 ms.	108.958984 ms.	132.688965 ms.	204.312988 ms.	175.802979 ms.	177.104004 ms.	179.418945 ms.	188.076172 ms.	187.555176 ms.	224.119141 ms.	385.958984 ms.	251.890137 ms.	 
111.670898 ms.	72.510986 ms.	82.789062 ms.	153.483887 ms.	138.692871 ms.	144.228027 ms.	137.429932 ms.	150.056885 ms.	157.554932 ms.	147.185059 ms.	257.667969 ms.	314.993896 ms.	 
 
n: 10m
5767.923828 ms.	3446.452881 ms.	3684.395020 ms.	3272.271973 ms.	2760.791992 ms.	3454.326904 ms.	2664.237061 ms.	2681.816895 ms.	2836.983887 ms.	2125.185059 ms.	2529.116943 ms.	2116.777100 ms.	 
3475.015869 ms.	5564.731201 ms.	3960.383057 ms.	3365.822998 ms.	3013.896973 ms.	3635.347168 ms.	2979.291016 ms.	2780.077881 ms.	3034.384033 ms.	2333.038818 ms.	2722.575195 ms.	2371.419922 ms.	 
3670.795166 ms.	4058.708984 ms.	9882.003174 ms.	5002.744141 ms.	3948.683838 ms.	4181.940918 ms.	3000.366211 ms.	3469.190186 ms.	3449.625000 ms.	2710.699951 ms.	3110.653076 ms.	2718.052979 ms.	 
3280.736816 ms.	3406.198975 ms.	5006.340088 ms.	9770.417969 ms.	4472.406982 ms.	4503.071777 ms.	3316.041992 ms.	3622.105957 ms.	3667.931885 ms.	2688.421143 ms.	3241.433838 ms.	2894.402100 ms.	 
2737.160889 ms.	2979.367188 ms.	3922.640137 ms.	4430.392822 ms.	7989.125000 ms.	4957.113037 ms.	3417.504150 ms.	3579.098145 ms.	3387.839844 ms.	2701.119141 ms.	3112.902100 ms.	2714.963867 ms.	 
3439.439941 ms.	3711.146973 ms.	4143.208008 ms.	4465.571045 ms.	4954.250000 ms.	9324.882080 ms.	4463.792969 ms.	4248.466064 ms.	4617.907227 ms.	3550.764160 ms.	4000.462158 ms.	3402.309082 ms.	 
2632.290039 ms.	2972.166016 ms.	3001.588135 ms.	3268.378174 ms.	3395.465088 ms.	4437.599854 ms.	7946.513916 ms.	4567.146240 ms.	4945.616943 ms.	3786.056885 ms.	3802.843018 ms.	3046.449951 ms.	 
2655.450195 ms.	2743.645020 ms.	3572.404053 ms.	3651.801025 ms.	3523.885010 ms.	4202.999023 ms.	4530.697998 ms.	9071.538086 ms.	5722.050049 ms.	4628.707031 ms.	4183.225098 ms.	3330.979004 ms.	 
2848.983887 ms.	3012.870850 ms.	3396.456055 ms.	3703.503906 ms.	3347.798096 ms.	4711.396973 ms.	4928.425049 ms.	5698.235107 ms.	9684.791016 ms.	5111.037842 ms.	4924.817871 ms.	4157.548096 ms.	 
2144.140137 ms.	2298.663086 ms.	2659.663818 ms.	2683.061035 ms.	2713.264160 ms.	3628.406006 ms.	3737.365967 ms.	4645.573975 ms.	5122.418945 ms.	7868.827881 ms.	4206.000977 ms.	3398.264893 ms.	 
2542.439209 ms.	2687.640137 ms.	3155.412842 ms.	3325.840088 ms.	3136.028076 ms.	4005.736084 ms.	3788.385010 ms.	4202.109131 ms.	4907.439941 ms.	4254.651855 ms.	8103.043945 ms.	5397.528809 ms.	 
2132.542969 ms.	2314.801025 ms.	2716.859863 ms.	2911.573975 ms.	2769.131104 ms.	3391.909912 ms.	3054.014160 ms.	3326.037109 ms.	4175.007812 ms.	3412.744141 ms.	5422.926025 ms.	8315.714844 ms.	 
 
