Operación tradicional:
n: 1k
1.588135 ms.	1.550049 ms.	1.549805 ms.	1.585938 ms.	1.447998 ms.	1.576904 ms.	1.490967 ms.	1.458008 ms.	1.372070 ms.	1.258057 ms.	1.352783 ms.	1.342041 ms.	 
6.411865 ms.	4.366943 ms.	6.413086 ms.	6.355957 ms.	7.281006 ms.	6.354004 ms.	5.806885 ms.	6.888916 ms.	5.958984 ms.	2.740967 ms.	5.218018 ms.	4.614014 ms.	 
36.705078 ms.	24.967041 ms.	66.011963 ms.	21.495117 ms.	6.786133 ms.	99.049072 ms.	28.021973 ms.	7.585938 ms.	7.205078 ms.	3.393066 ms.	5.610840 ms.	5.412109 ms.	 
11.207031 ms.	4.520996 ms.	11.438965 ms.	19.887207 ms.	5.791992 ms.	28.537842 ms.	28.635010 ms.	7.010010 ms.	6.607910 ms.	2.823975 ms.	6.157959 ms.	5.605957 ms.	 
7.207031 ms.	5.244873 ms.	15.239014 ms.	15.600098 ms.	6.853027 ms.	7.528076 ms.	5.990967 ms.	20.591797 ms.	7.352051 ms.	15.864990 ms.	6.813965 ms.	6.555908 ms.	 
6.635010 ms.	4.401855 ms.	5.954102 ms.	6.443115 ms.	5.478027 ms.	6.875000 ms.	5.615967 ms.	7.577881 ms.	8.606934 ms.	4.204834 ms.	6.764160 ms.	5.913086 ms.	 
4.288086 ms.	3.261963 ms.	13.118164 ms.	12.812012 ms.	3.181885 ms.	3.356934 ms.	4.286865 ms.	16.082031 ms.	4.231934 ms.	31.177979 ms.	23.086182 ms.	3.526123 ms.	 
6.275146 ms.	3.980957 ms.	6.226074 ms.	4.819092 ms.	6.132812 ms.	4.810059 ms.	6.094971 ms.	6.882080 ms.	6.780029 ms.	24.428955 ms.	37.806152 ms.	7.002930 ms.	 
6.125977 ms.	4.109863 ms.	5.961914 ms.	5.375977 ms.	5.888184 ms.	5.381104 ms.	5.929199 ms.	4.366943 ms.	5.227051 ms.	3.564941 ms.	6.990967 ms.	7.503906 ms.	 
 
n: 1m
440.697021 ms.	233.743896 ms.	326.554199 ms.	312.238037 ms.	156.861816 ms.	192.128906 ms.	145.816895 ms.	144.754883 ms.	148.844971 ms.	123.929932 ms.	147.708008 ms.	106.951904 ms.	 
235.739014 ms.	259.340088 ms.	256.015137 ms.	186.750000 ms.	132.234131 ms.	135.404785 ms.	114.874023 ms.	114.643799 ms.	107.452148 ms.	113.867920 ms.	104.425049 ms.	70.624023 ms.	 
326.746094 ms.	260.625000 ms.	641.121094 ms.	277.283936 ms.	178.066895 ms.	222.265869 ms.	148.858154 ms.	153.352051 ms.	150.197021 ms.	141.096191 ms.	124.150879 ms.	78.097900 ms.	 
310.824951 ms.	187.374023 ms.	277.992920 ms.	782.687988 ms.	364.353027 ms.	313.582031 ms.	212.477051 ms.	206.739014 ms.	198.789062 ms.	182.616943 ms.	208.714111 ms.	157.479980 ms.	 
